Code Module,Code Presentation,Highest Education,Num Prev Attempts,Studied Credits,Disability,Forum Ng,Homepage,OU Content,Quiz,Resource,Subpage,Url,Clicks 1Q,Clicks 2Q,Clicks 3Q,Clicks 4Q,Clicks Before Start,Num Past Deadline,Total Weighted Score,Total Weights,Num Banked,Fail?,IMD > 50%
AAA,2013J,HE Qualification,0,240,N,193.0,138.0,553.0,0.0,13.0,32.0,5.0,447.0,165.0,38.0,186.0,98.0,0.0,82.4,100.0,0.0,No,1
AAA,2013J,HE Qualification,0,60,N,417.0,324.0,537.0,0.0,12.0,87.0,48.0,508.0,225.0,360.0,127.0,215.0,2.0,65.4,100.0,0.0,No,0
AAA,2013J,A Level or Equivalent,0,60,N,634.0,432.0,836.0,0.0,19.0,144.0,90.0,674.0,539.0,457.0,319.0,169.0,0.0,76.30000000000003,100.0,0.0,No,1
AAA,2013J,Lower Than A Level,0,60,N,194.0,204.0,494.0,0.0,45.0,79.0,14.0,310.0,191.0,111.0,127.0,295.0,5.0,55.0,100.0,0.0,No,1
AAA,2013J,A Level or Equivalent,0,60,N,875.0,512.0,900.0,0.0,11.0,91.0,45.0,739.0,296.0,375.0,758.0,277.0,1.0,66.9,100.0,0.0,No,1
AAA,2013J,HE Qualification,0,60,N,123.0,320.0,915.0,0.0,8.0,98.0,24.0,540.0,171.0,368.0,233.0,180.0,2.0,67.8,100.0,0.0,No,0
AAA,2013J,A Level or Equivalent,0,120,N,428.0,295.0,508.0,0.0,16.0,120.0,56.0,571.0,287.0,257.0,292.0,21.0,2.0,72.5,100.0,0.0,No,1
AAA,2013J,A Level or Equivalent,0,90,N,333.0,476.0,714.0,0.0,19.0,214.0,128.0,648.0,403.0,425.0,412.0,6.0,1.0,71.19999999999997,100.0,0.0,No,1
AAA,2013J,Post Graduate Qualification,0,60,N,1974.0,394.0,575.0,0.0,6.0,124.0,82.0,724.0,1029.0,871.0,358.0,176.0,0.0,79.0,100.0,0.0,No,0
AAA,2013J,Lower Than A Level,0,60,N,30.0,360.0,708.0,0.0,16.0,132.0,60.0,566.0,268.0,142.0,204.0,139.0,0.0,74.0,100.0,0.0,No,1
AAA,2013J,A Level or Equivalent,0,60,N,229.0,488.0,811.0,0.0,6.0,110.0,78.0,597.0,344.0,349.0,283.0,159.0,1.0,73.7,100.0,0.0,No,0
AAA,2013J,Lower Than A Level,0,60,N,218.0,215.0,521.0,0.0,13.0,100.0,32.0,603.0,148.0,89.0,152.0,110.0,0.0,80.8,100.0,0.0,No,1
AAA,2013J,HE Qualification,0,60,N,1255.0,513.0,1520.0,0.0,21.0,61.0,5.0,885.0,986.0,485.0,781.0,251.0,0.0,76.4,100.0,0.0,No,1
AAA,2013J,Lower Than A Level,0,60,N,411.0,543.0,1419.0,0.0,8.0,204.0,127.0,863.0,655.0,657.0,320.0,242.0,0.0,71.2,100.0,0.0,No,0
AAA,2013J,A Level or Equivalent,0,60,N,91.0,254.0,610.0,0.0,12.0,56.0,25.0,439.0,131.0,353.0,35.0,95.0,0.0,53.49999999999999,100.0,0.0,No,1
AAA,2013J,HE Qualification,0,60,N,822.0,390.0,853.0,0.0,49.0,129.0,80.0,1278.0,232.0,278.0,335.0,204.0,0.0,79.69999999999997,100.0,0.0,No,0
AAA,2013J,A Level or Equivalent,0,150,N,14.0,34.0,43.0,0.0,1.0,22.0,2.0,65.0,8.0,26.0,6.0,11.0,2.0,32.8,70.0,0.0,Yes,0
AAA,2013J,A Level or Equivalent,0,60,N,756.0,602.0,1349.0,0.0,42.0,176.0,55.0,939.0,449.0,520.0,626.0,458.0,1.0,65.8,100.0,0.0,No,0
AAA,2013J,A Level or Equivalent,0,60,N,77.0,248.0,252.0,0.0,7.0,68.0,28.0,329.0,116.0,66.0,102.0,67.0,1.0,69.5,100.0,0.0,No,0
AAA,2013J,HE Qualification,0,60,N,5.0,424.0,893.0,0.0,9.0,116.0,39.0,615.0,230.0,328.0,245.0,76.0,5.0,69.0,100.0,0.0,No,0
AAA,2013J,Lower Than A Level,0,60,N,33.0,486.0,2069.0,0.0,33.0,189.0,18.0,1083.0,450.0,692.0,137.0,477.0,0.0,60.6,100.0,0.0,No,1
AAA,2013J,A Level or Equivalent,0,60,N,255.0,161.0,228.0,0.0,6.0,67.0,22.0,315.0,114.0,76.0,212.0,27.0,2.0,68.69999999999999,100.0,0.0,No,0
AAA,2013J,Lower Than A Level,0,60,N,642.0,695.0,2298.0,0.0,20.0,269.0,163.0,1621.0,659.0,997.0,525.0,302.0,0.0,71.60000000000002,100.0,0.0,No,1
AAA,2013J,A Level or Equivalent,0,60,N,414.0,563.0,864.0,0.0,16.0,83.0,1.0,738.0,251.0,475.0,353.0,127.0,0.0,76.0,100.0,0.0,No,0
AAA,2013J,HE Qualification,0,60,N,217.0,172.0,607.0,0.0,22.0,102.0,25.0,456.0,240.0,209.0,214.0,31.0,0.0,77.10000000000002,100.0,0.0,No,1
AAA,2013J,Post Graduate Qualification,0,60,N,353.0,813.0,3122.0,0.0,49.0,286.0,139.0,1054.0,748.0,1468.0,963.0,544.0,2.0,78.9,100.0,0.0,No,0
AAA,2013J,Lower Than A Level,0,60,N,91.0,183.0,389.0,0.0,15.0,55.0,0.0,241.0,15.0,183.0,145.0,149.0,1.0,54.2,100.0,0.0,No,0
AAA,2013J,HE Qualification,0,60,N,30.0,212.0,499.0,0.0,52.0,152.0,53.0,400.0,137.0,323.0,100.0,38.0,1.0,63.7,100.0,0.0,No,1
AAA,2013J,HE Qualification,0,60,N,259.0,489.0,1341.0,0.0,18.0,160.0,59.0,796.0,575.0,403.0,317.0,252.0,0.0,48.9,60.0,0.0,No,1
AAA,2013J,Lower Than A Level,0,60,N,802.0,979.0,1383.0,0.0,32.0,221.0,116.0,1634.0,645.0,680.0,591.0,3.0,3.0,77.3,100.0,0.0,No,1
AAA,2013J,Post Graduate Qualification,0,60,N,5.0,174.0,344.0,0.0,37.0,157.0,40.0,451.0,37.0,122.0,119.0,28.0,0.0,72.3,100.0,0.0,No,0
AAA,2013J,HE Qualification,0,60,N,129.0,241.0,852.0,0.0,27.0,65.0,32.0,515.0,171.0,256.0,274.0,142.0,2.0,70.8,100.0,0.0,No,1
AAA,2013J,HE Qualification,0,60,N,72.0,420.0,1149.0,0.0,4.0,131.0,107.0,612.0,469.0,512.0,293.0,0.0,4.0,59.8,100.0,0.0,No,0
AAA,2013J,A Level or Equivalent,0,60,N,18.0,315.0,606.0,0.0,8.0,112.0,49.0,350.0,209.0,179.0,45.0,325.0,0.0,74.2,100.0,0.0,No,1
AAA,2013J,HE Qualification,0,120,N,9.0,62.0,151.0,0.0,14.0,43.0,5.0,119.0,76.0,48.0,33.0,8.0,0.0,59.0,100.0,0.0,No,0
AAA,2013J,A Level or Equivalent,0,60,N,390.0,486.0,857.0,0.0,9.0,199.0,95.0,1091.0,418.0,300.0,229.0,3.0,1.0,70.69999999999997,100.0,0.0,No,0
AAA,2013J,A Level or Equivalent,0,180,N,198.0,324.0,666.0,0.0,18.0,90.0,25.0,506.0,275.0,336.0,172.0,32.0,3.0,69.4,100.0,0.0,No,0
